feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr
liwc_reward,-0.0556165802342043,0.03643828892424772,-0.12703431418399458,0.015801153715585985,0.12692956794489801,348,104,0.4164876448191966
liwc_approach,0.058047833529519303,0.03881619479442058,-0.01803051028443616,0.13412617734347476,0.13479599813718504,348,104,0.42889635770922513
liwc_six_plus_words,0.05689090856634594,0.03890459903642266,-0.01936070437801416,0.13314252151070605,0.14365399589169134,348,104,0.4436373402537526
liwc_quotes,0.059546465912210016,0.04171922052258032,-0.02222170377513171,0.14131463559955174,0.1534891418754056,348,104,0.45756471392243064
liwc_tentative,-0.053277383509680185,0.037634693525111146,-0.1270400273881008,0.020485260368740432,0.1568793304876905,348,104,0.45756471392243064
liwc_religion,0.05934130818881753,0.04246326301351731,-0.023885157983728166,0.14256777436136323,0.16227106452961582,348,104,0.46049896690836917
liwc_sad_words,0.05041477966542913,0.03798272840950442,-0.024030000051765858,0.12485955938262411,0.18440681520881508,348,104,0.5016706043703764
liwc_causation,0.049287632776023646,0.037296740997745666,-0.023812636320276345,0.12238790187232364,0.18633479590899693,348,104,0.5016706043703764
liwc_adverbs,-0.05485371193669405,0.042523716161194096,-0.13819866410143833,0.028491240228050226,0.19706602427048592,348,104,0.5172983137100255
liwc_drives,-0.047440956780082505,0.037487089093573386,-0.1209143012887306,0.026032387728565587,0.2056821569332835,348,104,0.5209649880968514
liwc_periods,0.05866738533165902,0.046634850909724586,-0.03273524287579614,0.1500700135391142,0.20838599523874057,348,104,0.5209649880968514
liwc_allure,0.04583443513679333,0.03739193954529426,-0.02745241968408242,0.11912128995766909,0.2202800310568518,348,104,0.5341963150619023
liwc_other_punctuation,0.0640402897062963,0.05362077924966044,-0.04105450644601083,0.16913508585860343,0.23235339587967507,348,104,0.5341963150619023
liwc_filler_words,0.062122774919347916,0.05219207882305437,-0.0401718198521143,0.16441736969081014,0.23393946550000444,348,104,0.5341963150619023
liwc_space,-0.04644914767195183,0.039365896483442415,-0.12360488699863093,0.03070659165472727,0.23802658741011917,348,104,0.5341963150619023
liwc_i,-0.04978690616662726,0.04229271696440172,-0.1326791082252008,0.033105295891946274,0.23911644578961344,348,104,0.5341963150619023
liwc_time_orientation,-0.04656188295098416,0.040459412947437906,-0.125860875163596,0.0327371092616277,0.24980241667558112,348,104,0.5464427864778337
liwc_semicolons,0.35583388456767523,0.3134728632993245,-0.2585616376296485,0.970229406764999,0.25631893804402306,348,104,0.5477603888405845
liwc_analytical_thinking,0.045673623385864955,0.04087822979628566,-0.03444623476660704,0.12579348153833694,0.2638621311134186,348,104,0.5477603888405845
liwc_relativity,-0.04472704507220559,0.040215172024158266,-0.12354733387163855,0.034093243727227364,0.2660550460082839,348,104,0.5477603888405845
liwc_time,-0.04177525292459106,0.03903686794819531,-0.11828610817229987,0.03473560232311774,0.2845523876938699,348,104,0.574576936689545
liwc_see,0.04030336765178366,0.038940883136919104,-0.0360193608227609,0.11662609612632822,0.3006742647554952,348,104,0.595675430175981
liwc_negative_emotion_words,0.0397144102336121,0.039176538214872235,-0.03707019370649458,0.11649901417371877,0.31071187115696675,348,104,0.604161971694102
liwc_auxiliary_verbs,-0.035851925165981735,0.037707341176643934,-0.10975695582496803,0.03805310549300456,0.3417088052367997,348,104,0.6472043090612186
liwc_body,-0.03494319706375049,0.03807666694976498,-0.10957209293661643,0.039685698809115454,0.35877264960306443,348,104,0.6472043090612186
liwc_pronouns,-0.03748551682953228,0.041253617643785045,-0.1183411216433371,0.04337008798427253,0.3635295654151922,348,104,0.6472043090612186
liwc_impersonal_pronouns,-0.03857904781949922,0.04290866338991644,-0.12267848268848777,0.045520387049489346,0.3686010295316464,348,104,0.6472043090612186
liwc_low_empathy,-0.03926195807026657,0.04367268356681449,-0.12485884496943724,0.046334928828904096,0.36865003180236,348,104,0.6472043090612186
liwc_nonfluencies,0.03271502957853989,0.0368063726810073,-0.03942413527779337,0.10485419443487315,0.3740882969877912,348,104,0.6472043090612186
liwc_communion_language,0.03460688459466009,0.03916739454959444,-0.04215979809081542,0.1113735672801356,0.37693182936933556,348,104,0.6472043090612186
liwc_focus_future,0.03221322588207537,0.036889163575008266,-0.04008820614474766,0.1045146579088984,0.38253031651234737,348,104,0.6472043090612186
liwc_affiliation,0.034132873661463295,0.03956685239212774,-0.04341673200871955,0.11168247933164614,0.38832258543673115,348,104,0.6472043090612186
liwc_negations,0.035773073141128285,0.04216943364202412,-0.04687749804569071,0.11842364432794728,0.39626111318237045,348,104,0.6501158888148265
liwc_money,0.03675164397256931,0.04624471241035822,-0.053886326827145274,0.1273896147722839,0.42677581538979137,348,104,0.6894070863988937
liwc_you,0.031162264267658408,0.03995554833871056,-0.047149171458763475,0.10947369999408028,0.4354360059118527,348,104,0.6905962001245
liwc_cognitive_processes,-0.03251939794560696,0.042174443479093826,-0.115179788232651,0.05014099234143708,0.4406661467461095,348,104,0.6905962001245
liwc_verbs,-0.030565911203832816,0.04083919250798103,-0.11060925767717364,0.04947743526950801,0.454191466735443,348,104,0.6919451401617012
liwc_exclamations,0.05995801243549998,0.0802016084471571,-0.0972342516231113,0.21715027649411126,0.454706806391975,348,104,0.6919451401617012
liwc_feel,0.02692173146351119,0.03817420829266241,-0.04789834192843739,0.10174180485545978,0.480664921526594,348,104,0.7209973822898911
liwc_assent,-0.02987904323359367,0.04438430252999482,-0.11687067767131351,0.05711259120412618,0.5008267861259362,348,104,0.7406593315946943
liwc_hear,-0.02600788987828866,0.03976819877039515,-0.1039521271982932,0.051936347441715894,0.5131201021786163,348,104,0.7481569214508441
