mediator,a,a_se,a_p,b,b_se,b_p,c,c_p,c_prime,c_prime_se,c_prime_p,indirect,CI_lo,CI_hi,sig_MC,prop_mediated,n_obs,n_subjects,p_indirect_proxy,q_fdr
BHOL13,-0.09989368555671184,0.07976894462473619,0.2104649699039649,-3.311607041965077,0.4661286630097741,1.2076650744988483e-12,1.515149468575521,0.026619244978882652,1.0858594185971933,0.6479357899662745,0.09376267149264976,0.330808632537452,-0.18662922591197248,0.8898218356315608,False,0.21833399238720932,322,103,0.2104649699039649,0.3928679438207345
BAI1,0.1339076933077051,0.08487366162342479,0.11462772929815532,2.4555355065410693,0.44719771485264,3.998017551827192e-08,1.515149468575521,0.026619244978882652,1.1281478298198195,0.6622415496172762,0.08846907473758546,0.3288150955160818,-0.08315975750878142,0.7782176240496549,False,0.21701825617588721,322,103,0.11462772929815532,0.3677878913304248
BAI5,0.08627589641755483,0.08615391116025156,0.31662578062883995,3.6838091391480146,0.4045905369982018,8.624228058013768e-20,1.515149468575521,0.026619244978882652,1.189855532765317,0.6123176767022598,0.05199203293693468,0.31782393571117595,-0.31134508145900586,0.9461346574820069,False,0.20976408090614354,322,103,0.31662578062883995,0.49252899208930656
PHQ8,-0.14174318941310995,0.08389162993653376,0.0911047536127105,2.2300231993256956,0.4510838126307718,7.665349800363822e-07,1.515149468575521,0.026619244978882652,1.8345865487276842,0.6655013860780303,0.0058388194559240636,-0.31609060073765155,-0.7478342108034887,0.04735734331922476,False,-0.20862007827836715,322,103,0.0911047536127105,0.3677878913304248
BHOL20,0.09410035302602719,0.07200767202477244,0.19127721435766554,3.122129148614261,0.49230699243928033,2.2704611071248765e-10,1.515149468575521,0.026619244978882652,1.2181254789871454,0.6510655351354243,0.06134894240782022,0.2937934550774517,-0.15190309211911332,0.7627804334398659,False,0.19390394226495938,322,103,0.19127721435766554,0.3825544287153311
BHOL10,-0.12028745855021837,0.08512250153709681,0.15762338199875348,-2.186270189640167,0.4446480730269331,8.794555278795607e-07,1.515149468575521,0.026619244978882652,1.2522830420760915,0.6651135965838397,0.059726017157201564,0.26298088481591964,-0.10227998890357258,0.6796701163694162,False,0.173567618423259,322,103,0.15762338199875348,0.3677878913304248
BAI9,0.06804815265158176,0.07970754662682286,0.3932585788360413,2.5469058695106863,0.46620955048845586,4.681370850764509e-08,1.515149468575521,0.026619244978882652,1.323455180758514,0.6580982106573003,0.04432229827915309,0.17331223939767276,-0.22992956413177798,0.5955144638279369,False,0.11438623250854159,322,103,0.3932585788360413,0.5795389582846925
BHOL15,-0.09916332260144237,0.08425414813333369,0.2392135545653823,-1.5953776904285222,0.45735314742276145,0.00048613133110604736,1.515149468575521,0.026619244978882652,1.3307015374220037,0.6755291290759732,0.048853785317776864,0.1582029525871076,-0.10150482781478874,0.4785975807554298,False,0.1044140897437949,322,103,0.2392135545653823,0.41862372048941904
BAI12,0.045410547248600414,0.08029322438646641,0.571693677406526,3.4481249008122314,0.44609629233589454,1.0792493452765159e-14,1.515149468575521,0.026619244978882652,1.327636670044297,0.6276126099928545,0.03439791125667177,0.15658123872740945,-0.394231572081513,0.7044523981114191,False,0.10334375715065292,322,103,0.571693677406526,0.7267402162920914
BAI17,0.05018737324130604,0.08344669714830472,0.547553413319166,3.0391036087441856,0.43662981072536783,3.3938808156883076e-12,1.515149468575521,0.026619244978882652,1.3480819545441012,0.6394549401002625,0.03501598523871498,0.15252462713104456,-0.3520624099780489,0.6614659717465095,False,0.1006663898806246,322,103,0.547553413319166,0.7267402162920914
BAI7,0.0357880650102197,0.07278199438466752,0.6229201853932211,3.7935915954800294,0.47960345001321647,2.5769814344754174e-15,1.515149468575521,0.026619244978882652,1.3905427581718408,0.6241690470685634,0.02589182892025924,0.13576530264126238,-0.41437003965161257,0.6792450207612412,False,0.08960522077660307,322,103,0.6229201853932211,0.7267402162920914
