feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr,p_bonferroni
liwc_low_empathy,-0.29752306393272016,0.41224624728493836,-1.1055108613729925,0.5104647335075521,0.47047156227677545,348.0,104.0,0.7264634417509033,1.0
liwc_communion_language,0.2547226918328571,0.36021357575110396,-0.45128294338169717,0.9607283270474114,0.47947730026799096,348.0,104.0,0.7296393699730297,1.0
liwc_feel,0.24141123207303672,0.354326096887902,-0.4530551566099009,0.9358776207559744,0.495665860450477,348.0,104.0,0.7434987906757156,1.0
liwc_hear,-0.24035940091765842,0.36123978861356976,-0.9483763763831174,0.46765757454780066,0.5058115975071624,348.0,104.0,0.7466128488877667,1.0
liwc_differentiation,-0.2528122000342954,0.385511373186807,-1.0084006071110174,0.5027762070424266,0.5119630963801829,348.0,104.0,0.7466128488877667,1.0
liwc_sexual,-0.208450572367276,0.33222296595836354,-0.8595956204827448,0.44269447574819293,0.5303696817461914,348.0,104.0,0.7478255584351081,1.0
liwc_action,-0.22945345986694032,0.36834903190618073,-0.9514042961432498,0.4924973764093692,0.5333344523702797,348.0,104.0,0.7478255584351081,1.0
liwc_money,0.26548349236511426,0.42942796226265895,-0.5761798476241228,1.1071468323543514,0.5364264334605746,348.0,104.0,0.7478255584351081,1.0
liwc_colons,-0.2056447105801172,0.34285919075867155,-0.8776363762356616,0.4663469550754271,0.5486438724973848,348.0,104.0,0.7478255584351081,1.0
liwc_affective_processes,-0.20927787236830017,0.35796420407790247,-0.910874820115535,0.4923190753789346,0.5587941643964469,348.0,104.0,0.7478255584351081,1.0
liwc_anxiety_words,-0.21207313527561217,0.363922427477974,-0.925347986298831,0.5012017157476065,0.5600665285852774,348.0,104.0,0.7478255584351081,1.0
liwc_perceptual_processes,0.20724324530511992,0.3647255115191396,-0.5076056215153423,0.9220921121255822,0.5698876121203293,348.0,104.0,0.7478255584351081,1.0
liwc_we,-0.19301147761560847,0.34328361066110546,-0.8658349909942453,0.47981203576302844,0.5739451685176264,348.0,104.0,0.7478255584351081,1.0
