feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr
F0final_sma_flatness,-0.07634172381018897,0.05620040954495428,-0.18649250243470045,0.03380905481432252,0.17434194365857225,348,104,0.6090107500528307
F0final_sma_ff0_maxSegLen,-0.05681846156025849,0.042831934434445405,-0.14076751043995245,0.027130587319435476,0.18465944782815025,348,104,0.6090107500528307
F0final_sma_de_lpc2,-0.04432738716938275,0.03433625831582255,-0.11162521683225887,0.022970442493493386,0.19671097217723554,348,104,0.6090107500528307
F0final_sma_qregc2,-0.045174729319322066,0.035617213185581344,-0.11498318439274663,0.024633725754102498,0.20467662703210177,348,104,0.6090107500528307
F0final_sma_de_posamean,-0.048410314770476706,0.04167720409881177,-0.13009613378047288,0.03327550423951947,0.24541675791934559,348,104,0.6090107500528307
F0final_sma_de_flatness,-0.04199585971207229,0.03623027336183447,-0.11300589065130875,0.029014171227164175,0.2464002411607692,348,104,0.6090107500528307
F0final_sma_stddev,0.060179936389605976,0.05213940930105159,-0.04201142801564786,0.1623713007948598,0.24841322862471238,348,104,0.6090107500528307
F0final_sma_lpc0,0.05451763175444584,0.04813966808690422,-0.039834383923598636,0.14886964743249032,0.25742901828218423,348,104,0.6090107500528307
F0final_sma_de_centroid,-0.039072239218547564,0.035335372102587054,-0.10832829591993955,0.03018381748284442,0.2688328854687292,348,104,0.6090107500528307
F0final_sma_de_quartile3,-0.0519954695579228,0.04738210607594136,-0.14486269097842433,0.04087175186257872,0.2724818234345966,348,104,0.6090107500528307
F0final_sma_quartile2,0.09389011507541342,0.08577457605218412,-0.07422496477605928,0.2620051949268861,0.27368545616771467,348,104,0.6090107500528307
F0final_sma_upleveltime75,0.044190168389079486,0.041660165658626076,-0.0374622558918,0.12584259266995898,0.288812830895118,348,104,0.6090107500528307
F0final_sma_lpgain,0.0537484789400137,0.050715718365696626,-0.04565250250682825,0.15314946038685565,0.289235950189644,348,104,0.6090107500528307
F0final_sma_de_qregc1,0.03887216664153923,0.03703475858912333,-0.03371462636927792,0.11145895965235639,0.29389604570553896,348,104,0.6090107500528307
F0final_sma_ff0_segLenStddev,-0.04873555433415457,0.0474840461100604,-0.14180257455011222,0.04433146588180307,0.3047236243047914,348,104,0.6090107500528307
F0final_sma_de_upleveltime90,-0.039629294877032074,0.0389485333736139,-0.11596701753997163,0.03670842778590749,0.3089258603953787,348,104,0.6090107500528307
F0final_sma_lpc2,-0.03965367893470848,0.039036168867805865,-0.11616316401003168,0.03685580614061471,0.30971562418376775,348,104,0.6090107500528307
F0final_sma_lpc1,-0.04709419972985416,0.04715461009167758,-0.1395155372145712,0.04532713775486288,0.31793088845111417,348,104,0.6090107500528307
F0final_sma_de_kurtosis,0.03787821575384782,0.03797763831235586,-0.03655658755625819,0.11231301906395383,0.3185790879906598,348,104,0.6090107500528307
F0final_sma_ff0_meanSegLen,-0.04882145787202015,0.04899596027350071,-0.1448517753960368,0.047208859651996504,0.3190371671535178,348,104,0.6090107500528307
F0final_sma_range,-0.040491963262995784,0.0406708169970894,-0.12020529979911049,0.03922137327311892,0.3194433652117221,348,104,0.6090107500528307
F0final_sma_de_qregc2,-0.03686203492969176,0.03728914394738135,-0.10994741408088896,0.03622334422150542,0.3228853066716235,348,104,0.6090107500528307
F0final_sma_de_lpc1,0.03434886248768356,0.035028140138242465,-0.034305030628693535,0.10300275560406066,0.32678625612590917,348,104,0.6090107500528307
F0final_sma_maxPos,0.03458109579799905,0.03581600220390634,-0.03561697859186458,0.10477917018786267,0.3342840132278214,348,104,0.6091397574373635
F0final_sma_upleveltime25,0.06146516608846382,0.0647979776839163,-0.06553653644304229,0.18846686861996992,0.34284133069172495,348,104,0.6111519373200314
F0final_sma_de_linregc1,-0.03469887221153715,0.03750614780216924,-0.10820957110262497,0.038811826679550666,0.35488706160557615,348,104,0.6191646606735585
F0final_sma_quartile3,0.07340076137441251,0.08406756888638259,-0.09136864591073737,0.2381701686595624,0.38259971176975527,348,104,0.6536078409399986
F0final_sma_rqmean,0.06584351374109142,0.08037570991163907,-0.09168998291756021,0.22337701039974306,0.41267421569433527,348,104,0.6905976670803162
F0final_sma_de_lpc3,0.027291998116397178,0.03542481918553847,-0.04213937164610175,0.09672336787889611,0.44105064407144656,348,104,0.7233230562771724
F0final_sma_de_upleveltime25,0.026177272559000108,0.03548611062155484,-0.04337422621065164,0.09572877132865186,0.4607110099428301,348,104,0.7382026203231794
F0final_sma_skewness,-0.04178973784289043,0.059407808772609635,-0.158226903437648,0.07464742775186713,0.4817825420858689,348,104,0.7382026203231794
F0final_sma_de_range,0.024725465569435695,0.03602509512659308,-0.045882423418316165,0.09533335455718756,0.4924986995033581,348,104,0.7382026203231794
F0final_sma_amean,0.05557275503830688,0.08146551060720483,-0.10409671173398033,0.2152422218105941,0.49513590387530326,348,104,0.7382026203231794
F0final_sma_posamean,0.05557275503830688,0.08146551060720483,-0.10409671173398033,0.2152422218105941,0.49513590387530326,348,104,0.7382026203231794
F0final_sma_lpc3,0.022147657566665632,0.03530881592474444,-0.0470563499825878,0.09135166511591906,0.530491608887337,348,104,0.776791284442172
F0final_sma_de_maxPos,-0.021755257854305068,0.03645604799157826,-0.09320779893646224,0.04969728322785209,0.5506722677129675,348,104,0.7921951921484797
F0final_sma_upleveltime90,0.023005138171232578,0.04069603556015246,-0.05675762584022756,0.10276790218269272,0.5718752554773225,348,104,0.7957768770566465
F0final_sma_centroid,-0.019017863975527807,0.034490327099490396,-0.08661766290553481,0.0485819349544792,0.5813615352364896,348,104,0.7957768770566465
F0final_sma_leftctime,-0.032334909874108,0.06000192283354454,-0.1499365176310068,0.0852666978827908,0.5899573102001896,348,104,0.7957768770566465
F0final_sma_de_lpc0,-0.01919223093106675,0.035808509158888634,-0.08937561922256113,0.050991157360427634,0.5919803597616516,348,104,0.7957768770566465
F0final_sma_ff0_nnz,-0.028217604964183903,0.05659798727526509,-0.13914762162115973,0.08271241169279193,0.6180879906362722,348,104,0.8174712134221664
F0final_sma_lpc4,-0.018353279801262376,0.03844702743704716,-0.0937080688904981,0.057001509287973345,0.6331019632730599,348,104,0.8240374760062049
F0final_sma_de_risetime,-0.02304019157084965,0.05562195264967908,-0.13205721551401287,0.08597683237231357,0.6787068563543357,348,104,0.8693822694746768
F0final_sma_pctlrange0-1,-0.02097305044788073,0.05243048436113877,-0.12373491148770326,0.0817888105919418,0.6891444819006585,348,104,0.8693822694746768
F0final_sma_de_amean,0.013403537301469348,0.03674245705059741,-0.05861035522121135,0.08541742982415004,0.7152629609821208,348,104,0.8886600424323319
F0final_sma_percentile99.0,-0.01784295499106234,0.05214165681761992,-0.12003872444784475,0.08435281446572007,0.7321992302602585,348,104,0.8940630307654316
F0final_sma_de_upleveltime50,0.011386087049534217,0.03535270698916343,-0.05790394540522356,0.08067611950429199,0.747398792548591,348,104,0.8940630307654316
F0final_sma_quartile1,0.023454791825923076,0.07734765366186935,-0.12814382364001847,0.17505340729186464,0.7617080579348161,348,104,0.8940630307654316
F0final_sma_de_stddev,0.010643199164517716,0.03693648564667244,-0.061750982418440924,0.08303738074747635,0.7732329394788446,348,104,0.8940630307654316
F0final_sma_de_rqmean,0.01060018615869363,0.03693703938794478,-0.061795080737215534,0.08299545305460279,0.7741277461505566,348,104,0.8940630307654316
F0final_sma_minPos,-0.008877151060163475,0.03584378335493587,-0.07912967550549405,0.061375373385167104,0.8043957631895181,348,104,0.91611739696584
F0final_sma_de_upleveltime75,-0.008312894146936832,0.0369521813254134,-0.08073783869494064,0.06411205040106699,0.8220076249654593,348,104,0.9233510307831186
F0final_sma_de_skewness,-0.0070768868539298575,0.03596232169588459,-0.07756174217830707,0.06340796847044734,0.8439948894067583,348,104,0.9303089570667716
F0final_sma_de_linregc2,0.006268252905782465,0.03601793978567495,-0.06432561187147275,0.07686211768303768,0.8618407759685438,348,104,0.9303089570667716
F0final_sma_de_qregc3,0.006018853919771623,0.03602086337959842,-0.06458074099627902,0.07661844883582226,0.8672964413805655,348,104,0.9303089570667716
F0final_sma_percentile1.0,0.007397368429998992,0.046492384707342994,-0.08372603115177406,0.09852076801177205,0.873582801148066,348,104,0.9303089570667716
F0final_sma_de_minPos,0.0042521262519297,0.037468054312947835,-0.0691839107722387,0.0776881632760981,0.9096446980936237,348,104,0.944040407399807
F0final_sma_de_lpgain,0.0039539947398134585,0.036561558932044526,-0.06770534398563254,0.07561333346525946,0.9138796974027321,348,104,0.944040407399807
F0final_sma_de_leftctime,0.004856613802731821,0.04897991223739147,-0.09114225014848812,0.10085547775395176,0.9210150316095678,348,104,0.944040407399807
F0final_sma_linregc1,0.00233697902878289,0.03441724211466167,-0.06511957596314914,0.06979353402071493,0.9458641218585062,348,104,0.9575414566962656
F0final_sma_de_lpc4,0.0012048147715890839,0.0351774471250911,-0.06774171466165153,0.0701513442048297,0.9726780856568266,348,104,0.9726780856568266
