outcome,feature,coef,SE,CI_lo,CI_hi,p,n,q_fdr,group
HAMD,liwc_reward,-0.13689240351291476,0.04165441540614873,-0.21853355750603665,-0.05525124951979288,0.0010148256925460722,348,0.017759449619556264,LIWC
HAMD,liwc_risk,-0.010306889611950781,0.042809161538470517,-0.09421130443571028,0.07359752521180872,0.8097383108149949,348,0.9446946959508274,LIWC
HAMD,liwc_time_orientation,-0.02897515561927588,0.045238026415739034,-0.11764005812579598,0.05968974688724421,0.5218447201345409,348,0.7733432996357671,LIWC
HAMD,liwc_focus_past,0.006348430970313372,0.04789571023228705,-0.08752543609893579,0.10022229803956254,0.8945516789415561,348,0.9640398439730786,LIWC
HAMD,liwc_focus_present,-0.043494470951101545,0.046624457556662904,-0.1348767285608772,0.04788778665867411,0.3508880545323704,348,0.6476480006288423,LIWC
HAMD,liwc_focus_future,0.04467733255101802,0.04217936412095348,-0.03799270201685176,0.1273473671188878,0.28949844915855005,348,0.6079467432329552,LIWC
HAMD,liwc_relativity,-0.07012636398662613,0.04658363409424689,-0.16142860908034218,0.021175881107089914,0.1322247924503934,348,0.4338626002278533,LIWC
HAMD,liwc_motion,-0.021258970322555207,0.046228839540812264,-0.11186583086962841,0.069347890224518,0.6456139774875731,348,0.8112422979685504,LIWC
HAMD,liwc_space,-0.055823335481941405,0.04461622498619544,-0.14326952958102054,0.031622858617137733,0.21086548508328307,348,0.5646635427786095,LIWC
HAMD,liwc_time,-0.04744380402744782,0.04465305918587531,-0.13496219183129884,0.04007458377640321,0.2880094830911327,348,0.6079467432329552,LIWC
HAMD,liwc_personal_concerns,-0.052432651376411024,0.04568701102685002,-0.14197754755032138,0.03711224479749933,0.2511135032042463,348,0.5762298593384502,LIWC
HAMD,liwc_work,-0.07883116014579226,0.04402975772319,-0.16512789953126894,0.007465579239684425,0.07338860173819794,348,0.3669430086909897,LIWC
HAMD,liwc_leisure,-0.07991712248513601,0.04405451427922471,-0.16626238382882197,0.006428138858549953,0.06966992049675662,348,0.36576708260797225,LIWC
HAMD,liwc_home,-0.018205295903983593,0.04380444751663799,-0.10406043539926907,0.06764984359130188,0.6776999278857634,348,0.8274243305581995,LIWC
HAMD,liwc_money,-0.11141662192627028,0.05140396221699591,-0.21216653653423997,-0.010666707318300578,0.030198922263885312,348,0.21842851163542304,LIWC
HAMD,liwc_religion,0.11694748148006823,0.041807934234582275,0.03500543611226782,0.19888952684786865,0.00515387302674853,348,0.07730809540122796,LIWC
HAMD,liwc_death,0.23653528995400486,0.044515737589285086,0.1492860475337702,0.32378453237423954,1.0752725733992445e-07,348,1.1290362020692065e-05,LIWC
HAMD,liwc_informal_language,-0.04149104698485537,0.04697887235520912,-0.13356794483536963,0.05058585086565889,0.3771361912550497,348,0.6491688537996757,LIWC
HAMD,liwc_swear_words,0.03360355470766939,0.03976341985470152,-0.0443313161096905,0.11153842552502928,0.3980621886555735,348,0.6634369810926226,LIWC
HAMD,liwc_netspeak,-0.03959225564917394,0.04003206607020667,-0.1180536633735069,0.03886915207515903,0.3226565137510998,348,0.6476480006288423,LIWC
HAMD,liwc_assent,-0.023001539496132213,0.0488300343141775,-0.11870664811577511,0.07270356912351067,0.6376028091759323,348,0.8112422979685504,LIWC
HAMD,liwc_nonfluencies,-0.04907054134611212,0.041463096066787324,-0.13033671632453964,0.03219563363231541,0.23662091316436973,348,0.5646635427786095,LIWC
HAMD,liwc_filler_words,-0.03495453019058513,0.042427561842680664,-0.11811102335408508,0.04820196297291482,0.4100169799143456,348,0.6726841076719732,LIWC
HAMD,liwc_all_punctuation,-0.08506317514474733,0.046799084725493885,-0.1767876957161539,0.006661345426659249,0.06912150460960993,348,0.36576708260797225,LIWC
HAMD,liwc_periods,-0.041676594204253924,0.0513786532467488,-0.14237690414205348,0.05902371573354564,0.41727059872104577,348,0.6740525056263047,LIWC
HAMD,liwc_commas,-0.05219169240170556,0.04560479443275536,-0.14157544701225883,0.03719206220884771,0.2524435574244639,348,0.5762298593384502,LIWC
HAMD,liwc_colons,-0.07305419335680123,0.04198539595569963,-0.15534405730662615,0.009235670593023687,0.08186067248278656,348,0.37020150268621,LIWC
HAMD,liwc_semicolons,0.023487401204825505,0.05160246928149939,-0.07765158010024778,0.1246263825098988,0.6489938383748404,348,0.8112422979685504,LIWC
HAMD,liwc_question_marks,0.020264346362226827,0.04205946804694254,-0.06217069621869376,0.10269938894314742,0.6299464304789257,348,0.8112422979685504,LIWC
HAMD,liwc_exclamations,0.051891924984398236,0.03962458323012882,-0.025770831049064052,0.12955468101786052,0.19033485479923173,348,0.5475087464921075,LIWC
HAMD,liwc_dashes,0.04950461524824326,0.04113915724951514,-0.031126651315136283,0.1301358818116228,0.22884269089003684,348,0.5646635427786095,LIWC
HAMD,liwc_quotes,-0.004705878820913534,0.04670986057050599,-0.09625552326199281,0.08684376562016576,0.9197512920810029,348,0.9640398439730786,LIWC
HAMD,liwc_apostrophes,-0.07592659915543819,0.04322812850389306,-0.1606521741421379,0.008798975831261532,0.07901731361808649,348,0.37020150268621,LIWC
HAMD,liwc_other_punctuation,-0.02918760410532187,0.04042676206652911,-0.10842260176728896,0.050047393556645225,0.4703023569918361,348,0.7262021688844528,LIWC
HAMD,liwc_low_empathy,-0.06855172903603511,0.04944767150863753,-0.16546738431233204,0.028363926240261808,0.16564036696883788,348,0.5270375312644842,LIWC
HAMD,liwc_high_empathy,0.09243334959547346,0.04974490675346105,-0.005064876055613496,0.1899315752465604,0.06314814102497218,348,0.36576708260797225,LIWC
HAMD,liwc_allure,-0.0517920931136179,0.04344029915492113,-0.13693351493490907,0.03334932870767327,0.23315965604050515,348,0.5646635427786095,LIWC
HAMD,liwc_absolutist,-0.03483574481175949,0.04543031271651133,-0.12387752154251372,0.05420603191899475,0.44320330266915,348,0.7024129952290876,LIWC
HAMD,liwc_action,-0.004616801401260099,0.04459046778404917,-0.09201251231179002,0.08277890950926982,0.9175361067382336,348,0.9640398439730786,LIWC
HAMD,liwc_inaction,-0.027612100246621547,0.04322228339260034,-0.11232621902570192,0.05710201853245883,0.5229273740394235,348,0.7733432996357671,LIWC
HAMD,liwc_abstract,-0.007967758309214345,0.04723374192593362,-0.1005441913391038,0.08460867472067513,0.8660421771770775,348,0.9526967168570958,LIWC
HAMD,liwc_concrete,-0.022791313765595123,0.048964136057444846,-0.11875925697230605,0.0731766294411158,0.6415952468682569,348,0.8112422979685504,LIWC
HAMD,liwc_agency_language,0.025079124100047312,0.04603157062809184,-0.0651410964828245,0.11529934468291912,0.5858742767321545,348,0.7989194682711199,LIWC
HAMD,liwc_communion_language,-0.007122543066407797,0.043873849541276114,-0.09311370803043814,0.07886862189762256,0.8710369982693447,348,0.9526967168570958,LIWC
HAMD,liwc_approach,0.010107183203382337,0.044506410850651566,-0.0771237791450374,0.09733814555180209,0.8203498748608332,348,0.9465575479163459,LIWC
HAMD,liwc_avoidance,0.16476430982258902,0.04665260069391269,0.07332689267739183,0.2562017269677862,0.0004128533223263671,348,0.00866991976885371,LIWC
PHQ,liwc_analytical_thinking,0.02225360586773755,0.0469708149992745,-0.06980749985533424,0.11431471159080933,0.6356602426261628,348,0.788594920754216,LIWC
PHQ,liwc_clout,0.11043785571574734,0.049979286470623156,0.01248025426031596,0.20839545717117872,0.027127898478668235,348,0.23736911168834707,LIWC
