feature,b_cross,SE_cross,CI_lo,CI_hi,p_cross,b_AR,p_AR,n,n_subj,q_cross
liwc_approach,-0.04195328694924446,0.0461752561310324,-0.13245512594298028,0.04854855204449136,0.363579041051313,0.6218445052521513,1.4495560685898154e-10,244,89,0.9148964165275159
liwc_positive_emotion_words,-0.04084402475058181,0.045195416966731614,-0.12942541427164628,0.04773736477048264,0.36614362687569646,0.598850265242407,9.840216689288435e-09,244,89,0.9148964165275159
liwc_friends,0.04725916916255717,0.05254925921012166,-0.055735486303541006,0.15025382462865536,0.3684764678096072,0.6255244090893307,2.3635022057008447e-09,244,89,0.9148964165275159
liwc_health,-0.04191872362969974,0.04667495897110876,-0.1333999621929576,0.04956251493355812,0.3691328902963298,0.6262297084315089,1.141882026092004e-10,244,89,0.9148964165275159
liwc_certainty,0.03959961887911594,0.044416150565897594,-0.04745443656195169,0.12665367432018357,0.3726293531889683,0.6054372549347798,9.128736013005855e-10,244,89,0.9148964165275159
liwc_male,0.040559890008658145,0.04823610661095711,-0.0539811417032522,0.13510092172056848,0.40042547027475783,0.6160891851572883,1.0853559975264835e-09,244,89,0.9148964165275159
liwc_relativity,0.04018202743211146,0.047901900879116784,-0.053703973081964985,0.1340680279461879,0.4015591373288835,0.6269915428570423,3.31202457652822e-10,244,89,0.9148964165275159
liwc_differentiation,0.038473272710298316,0.04602025971373935,-0.0517247788878104,0.12867132430840703,0.40315080068604403,0.6165350227959648,2.7526204381134156e-10,244,89,0.9148964165275159
liwc_personal_concerns,0.0375611879052096,0.04518084706394439,-0.05099164513113365,0.12611402094155283,0.4057748025305392,0.6102804469696458,6.396216427051413e-10,244,89,0.9148964165275159
liwc_biological_processes,-0.03732993289885712,0.04554172201765583,-0.12659006784739735,0.05193020204968311,0.4123948707990278,0.6251555563120487,1.7122523794237008e-10,244,89,0.9148964165275159
liwc_sexual,0.053234724369900975,0.06560490232298528,-0.0753485213924183,0.18181797013222026,0.41711056473383934,0.5933360433453045,4.8991112123814897e-08,244,89,0.9148964165275159
liwc_negative_emotion_words,-0.037617228154819285,0.04726806447785631,-0.13026093215033474,0.05502647584069616,0.42613227377713836,0.6242748066196201,1.0410487309362443e-09,244,89,0.9148964165275159
liwc_other_punctuation,0.05300019021953359,0.06771428317000074,-0.07971736603261459,0.18571774647168177,0.4338013871258236,0.6115308372057168,8.012218871287839e-10,244,89,0.9148964165275159
liwc_social_processes,-0.03512358040917651,0.0472273530496881,-0.12768749147172306,0.05744033065337006,0.45705032811709745,0.6090661905765425,2.120838772824339e-10,244,89,0.9148964165275159
liwc_apostrophes,-0.03376262408899095,0.04583123548800881,-0.12359019501246224,0.05606494683448033,0.4613213580937885,0.6047138283830586,1.3817670224512894e-09,244,89,0.9148964165275159
liwc_function_words,0.032841820767380396,0.044694729379718766,-0.05475823911563261,0.12044188065039341,0.46245948612266363,0.6109000478961785,3.928106765003432e-10,244,89,0.9148964165275159
liwc_risk,-0.03137055256461209,0.04471479261305605,-0.11900993566237959,0.056268830533155414,0.48294742869839546,0.6168552864308614,1.0302147098800825e-10,244,89,0.9148964165275159
liwc_motion,0.031760228450943825,0.04619854276604021,-0.05878725150872843,0.12230770841061608,0.4917850141161171,0.618747657710613,1.830906224138479e-10,244,89,0.9148964165275159
liwc_space,-0.03151515576090449,0.04597123630374576,-0.12161712324102641,0.058586811719217445,0.49300275611198396,0.6100105234522336,4.08463957669649e-10,244,89,0.9148964165275159
liwc_low_empathy,-0.03217811501651953,0.04721954810924872,-0.12472672867690343,0.06037049864386437,0.49558205261773725,0.594143284024607,2.955005367324876e-08,244,89,0.9148964165275159
liwc_exclamations,-0.06583433475376393,0.10087419752779761,-0.26354412887762657,0.13187545937009873,0.5139896800525147,0.6078817779628295,1.908962133374087e-09,244,89,0.9148964165275159
liwc_she_he,0.030694819298693984,0.04752689946004106,-0.06245619193984263,0.1238458305372306,0.5183823457603479,0.6123163681015976,1.1130953383344236e-09,244,89,0.9148964165275159
liwc_feel,-0.028535503442356055,0.044645315401738266,-0.11603871370819444,0.05896770682348232,0.5227187975619092,0.6158215727456275,5.349212685364049e-10,244,89,0.9148964165275159
liwc_assent,0.026897960873166597,0.04568608600172822,-0.06264512228482023,0.11644104403115342,0.5560249126649379,0.612543356921461,4.491228899852505e-10,244,89,0.9148964165275159
liwc_nonfluencies,-0.02635432629452145,0.04496281637761568,-0.11447982703813588,0.06177117444909298,0.5577841115307742,0.6124710554704997,2.1852162808527407e-10,244,89,0.9148964165275159
liwc_religion,-0.028801046908590144,0.05036967623442695,-0.12752379824101007,0.06992170442382976,0.5674619696348261,0.613243462352918,2.9380827058336017e-10,244,89,0.9148964165275159
liwc_impersonal_pronouns,-0.026057792668724107,0.04711581635838304,-0.11840309583335801,0.06628751049590978,0.580223498811608,0.5964341057046423,3.233869878392735e-08,244,89,0.9148964165275159
liwc_agency_language,-0.024312412100224088,0.04509674411358537,-0.1127004063828701,0.06407558218242193,0.589806268371807,0.609637342984479,1.7407945017833546e-09,244,89,0.9148964165275159
liwc_drives,-0.023503286935580216,0.044498832583929254,-0.11071939615415899,0.06371282228299854,0.5973760697225967,0.6141595092650362,2.1580612293144903e-10,244,89,0.9148964165275159
liwc_money,-0.026833752452373304,0.05127398770640619,-0.12732892170067892,0.07366141679593231,0.6007373478802414,0.6049916176312173,9.404473512445176e-10,244,89,0.9148964165275159
liwc_quotes,-0.024252081679514034,0.04645508332757015,-0.11530237190035866,0.06679820854133059,0.6016324392481021,0.6058823577438551,1.0817254902389927e-09,244,89,0.9148964165275159
