feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr,p_bonferroni
F0final_sma_de_range,0.10446368949882286,0.33451842873982923,-0.5511803829961709,0.7601077619938167,0.754827114536544,348,104,0.9609111976472959,1.0
F0final_sma_leftctime,0.16738039012574554,0.5608852898571157,-0.9319345774525101,1.2666953577040012,0.7653812630779963,348,104,0.9609111976472959,1.0
F0final_sma_de_posamean,0.09252693435906206,0.33235102824625323,-0.5588691112284485,0.7439229799465725,0.7807043770249125,348,104,0.9609111976472959,1.0
F0final_sma_de_percentile99.0,-0.10787809622428399,0.3887573936395389,-0.8698285864814409,0.6540723940328729,0.7814003145703285,348,104,0.9609111976472959,1.0
F0final_sma_de_quartile3,-0.10407120201608222,0.41748001252517625,-0.9223169908307584,0.7141745867985939,0.803140894616656,348,104,0.9682399650157456,1.0
F0final_sma_de_amean,0.07108248621998595,0.33005348103620946,-0.5758104495830584,0.7179754220230302,0.8294815315008378,348,104,0.9682399650157456,1.0
F0final_sma_lpc4,-0.0686681848489454,0.35580202761328367,-0.7660273445973073,0.6286909748994164,0.8469625041418664,348,104,0.9682399650157456,1.0
F0final_sma_de_qregc3,0.057165094128979896,0.3385001392932661,-0.6062829876476133,0.7206131759055731,0.865892911742949,348,104,0.9682399650157456,1.0
F0final_sma_de_pctlrange0-1,-0.06450460468292779,0.3858860096545722,-0.8208272857437648,0.6918180763779094,0.8672443622063633,348,104,0.9682399650157456,1.0
F0final_sma_de_linregc2,0.056087758567503414,0.3385850424026965,-0.6075267302457488,0.7197022473807555,0.8684297320490857,348,104,0.9682399650157456,1.0
F0final_sma_de_skewness,-0.053685682038739635,0.33702569249074216,-0.7142439011852657,0.6068725371077863,0.8734383899015296,348,104,0.9682399650157456,1.0
F0final_sma_de_upleveltime75,-0.05201702002073903,0.33714019005889506,-0.7127996502771621,0.608765610235684,0.8773818766553,348,104,0.9682399650157456,1.0
F0final_sma_de_risetime,0.07645187563911328,0.5200267699035814,-0.9427818643686041,1.0956856156468306,0.8831199680912845,348,104,0.9682399650157456,1.0
F0final_sma_minPos,-0.03443889940205323,0.3357020205404344,-0.6924027691986301,0.6235249703945236,0.918290202401344,348,104,0.9854855242359669,1.0
F0final_sma_de_iqr1-2,0.0319371016368162,0.3839304574643959,-0.720552767561387,0.7844269708350193,0.9337047574993481,348,104,0.9854855242359669,1.0
F0final_sma_de_lpc4,-0.02472786622920912,0.32781741183034746,-0.6672381869218248,0.6177824544634066,0.9398711372164292,348,104,0.9854855242359669,1.0
F0final_sma_de_percentile1.0,0.02483359813281926,0.38009783075918663,-0.7201444607569872,0.7698116570226258,0.9479074720397902,348,104,0.9854855242359669,1.0
F0final_sma_de_iqr1-3,-0.022874428025853287,0.38807280965144153,-0.7834831583219466,0.7377343022702401,0.952996990469946,348,104,0.9854855242359669,1.0
F0final_sma_de_leftctime,0.017128230965679666,0.4638270012949436,-0.8919559866296228,0.9262124485609821,0.9705423669888135,348,104,0.9923523078200228,1.0
F0final_sma_de_quartile1,0.00043076291546040893,0.3841401729738349,-0.7524701411282426,0.7533316669591634,0.9991052771051782,348,104,0.9999998976325367,1.0
F0final_sma_ff0_minSegLen,-4.301122874993035,33524319.412644736,-65706462.95612354,65706454.35387779,0.9999998976325367,348,104,0.9999998976325367,1.0
