mediator,a,a_se,a_p,b,b_se,b_p,c,c_p,c_prime,c_prime_se,c_prime_p,indirect,CI_lo,CI_hi,sig_MC,prop_mediated,n_obs,n_subjects,p_indirect_proxy,q_fdr
HAMD1,0.1858833897369724,0.05240339922748033,0.00038940384163854176,1.8125604024756194,0.392209766538376,3.8114880373129863e-06,2.4587600308160433,2.8518826163539135e-11,2.1283339722258012,0.367522602565822,6.995658331896902e-09,0.33692487171517915,0.1237611783627624,0.5961378026542977,True,0.1370304004833511,322,103,0.00038940384163854176,0.0014769929834061956
BAI13,0.11227682728567272,0.0472764011494195,0.01755360233816713,2.895487580823664,0.42141124220815673,6.378422848967782e-12,2.4587600308160433,2.8518826163539135e-11,2.1388907303638724,0.3467237445396689,6.878347792943737e-10,0.3250961590199488,0.05120249135306573,0.6215227899390684,True,0.13221955577017083,322,103,0.01755360233816713,0.022673403020132547
BAI7,0.08960022894447067,0.04208241579218541,0.03324096110185839,3.5000841409051375,0.4575702802932979,2.021044769231761e-14,2.4587600308160433,2.8518826163539135e-11,2.1361640343492856,0.33949675531385837,3.1310152456891364e-10,0.3136083403500113,0.021223723975778718,0.6240554624721237,True,0.1275473557482253,322,103,0.03324096110185839,0.041218791766304406
PHQ8,0.1929974259607441,0.04819041026504039,6.204561807457407e-05,1.4873632804295656,0.4428290334749896,0.0007828865840217329,2.4587600308160433,2.8518826163539135e-11,2.181748035508415,0.3747591791173923,5.824039457309385e-09,0.28705728459143454,0.09377125822646358,0.5332575731851721,True,0.11674880061238121,322,103,0.0007828865840217329,0.001866883392667209
BHOL3,-0.12744860995004986,0.05095015212155111,0.012369034924914831,-2.003858379510895,0.412052618620325,1.1555392802107807e-06,2.4587600308160433,2.8518826163539135e-11,2.226041158628739,0.36214256893951474,7.902978067915812e-10,0.255388965005423,0.05312811463505177,0.5029086621921958,True,0.10386900787575493,322,103,0.012369034924914831,0.017429094666925445
PHQ5,0.15095270235146607,0.053159638923196334,0.0045168559023987635,1.6474846255256355,0.39171552354592903,2.6013827150353327e-05,2.4587600308160433,2.8518826163539135e-11,2.2539717458691917,0.36334887049074527,5.528191431728235e-10,0.2486922563055878,0.06149567885609339,0.47943964660631616,True,0.10114539572332676,322,103,0.0045168559023987635,0.007779029609686759
BHOL10,-0.12565085720937566,0.04933612773340551,0.010870557365047852,-1.841404275682585,0.42480514527735724,1.459568297331722e-05,2.4587600308160433,2.8518826163539135e-11,2.23683780723411,0.3644035170843681,8.338086446015448e-10,0.2313740257085263,0.04850580688548377,0.4614566151483504,True,0.09410191430179343,322,103,0.010870557365047852,0.016849363915824173
HAMD4,0.17894281978453477,0.05502809475396685,0.0011465864040261589,0.9830214947158097,0.3896404951249237,0.011639362660358511,2.4587600308160433,2.8518826163539135e-11,2.2806809646301245,0.37503929600802965,1.1930226405684264e-09,0.17590463817325513,0.027494946246454263,0.3775103571080125,True,0.07154201140762556,322,103,0.011639362660358511,0.01718191630814828
BAI2,0.06883573598513501,0.048614281395518114,0.15678807081797314,2.512860733681929,0.41838036798211714,1.8996508424761546e-09,2.4587600308160433,2.8518826163539135e-11,2.3102616703232886,0.34850790370551243,3.379503438346794e-11,0.17297461803114192,-0.06888324602223747,0.4302622240259081,False,0.07035034564708334,322,103,0.15678807081797314,0.1869396228983526
BAI12,0.02997325031712991,0.04677012491776731,0.5216115892047295,3.420846026782694,0.4139251354029375,1.4039017797248823e-16,2.4587600308160433,2.8518826163539135e-11,2.3745157795849727,0.3350254797136527,1.364895072185904e-12,0.10253387425711696,-0.21396447132598903,0.418419633767733,False,0.0417014564138196,322,103,0.5216115892047295,0.5389986421782205
BAI1,0.041813195705568316,0.050014046585702326,0.40313856225651856,2.3722524890574634,0.41510042341435016,1.0977620751877837e-08,2.4587600308160433,2.8518826163539135e-11,2.3882748917976406,0.3551089758708289,1.750261195981396e-11,0.09919145758798129,-0.13687996280765985,0.3443715210015707,False,0.04034206524622105,322,103,0.40313856225651856,0.44633197964114557
BAI6,0.03207311739161062,0.04087948207077496,0.4327013902165867,3.0806445690639785,0.4743416324106202,8.327133274357723e-11,2.4587600308160433,2.8518826163539135e-11,2.341489394384398,0.3488155434746457,1.910733300353427e-11,0.09880587490541669,-0.15158048726435586,0.35513296429894126,False,0.04018524527284746,322,103,0.4327013902165867,0.4625428654039375
BHOL15,-0.04130853450204357,0.04922581094396772,0.4013772165577225,-1.5022707776427644,0.4284060196190987,0.0004537823733457145,2.4587600308160433,2.8518826163539135e-11,2.404491348190872,0.36439573980801965,4.151382232953747e-11,0.062056604249667954,-0.08302328692179264,0.2310053209091628,False,0.02523898366327024,322,103,0.4013772165577225,0.44633197964114557
BAI9,-0.020410394593211673,0.04666059613068798,0.6618049698195421,2.6326105586989237,0.43240427316674124,1.1410992118658814e-09,2.4587600308160433,2.8518826163539135e-11,2.5248666643432998,0.3506495774972195,5.997411360736124e-13,-0.05373262031330047,-0.30428175499900145,0.18445015588826752,False,-0.02185354391638904,322,103,0.6618049698195421,0.6618049698195421
