outcome,feature,coef,SE,CI_lo,CI_hi,p,n,q_fdr,group
BHOL,F0final_sma_quartile2,-0.03593336266483578,0.09695517957713619,-0.2259620227506361,0.15409529742096456,0.7109218588295925,348,0.9119274306402481,F0
BHOL,F0final_sma_quartile3,-0.10787523177700466,0.0938114143574044,-0.291742225256281,0.07599176170227169,0.2501785342361236,348,0.8547766586400889,F0
BHOL,F0final_sma_iqr1-2,-0.09373396106762645,0.06370307709064951,-0.2185896978696781,0.031121775734425206,0.14117765543765043,348,0.8547766586400889,F0
BHOL,F0final_sma_iqr2-3,-0.16558937074197805,0.0675990291961346,-0.29808103335627345,-0.03309770812768262,0.014302210699685037,348,0.7794619206529201,F0
BHOL,F0final_sma_iqr1-3,-0.14529951736177457,0.061953225144095424,-0.26672560737030293,-0.02387342735324624,0.019011266357388295,348,0.7794619206529201,F0
BHOL,F0final_sma_percentile1.0,0.10186245182637013,0.06231745333333287,-0.020277512315217835,0.2240024159679581,0.1021385067824244,348,0.8547766586400889,F0
BHOL,F0final_sma_percentile99.0,-0.05062027392978998,0.06509159554725351,-0.17819745689865463,0.07695690903907465,0.436759117812629,348,0.878347263088049,F0
BHOL,F0final_sma_pctlrange0-1,-0.07642981896319258,0.0650479242961977,-0.20392140785282803,0.05106176992644286,0.2400038929321645,348,0.8547766586400889,F0
BHOL,F0final_sma_stddev,-0.050436522898803564,0.06472126044262752,-0.17728786240039038,0.07641481660278324,0.43580988815378474,348,0.878347263088049,F0
BHOL,F0final_sma_skewness,0.08105196215688383,0.07813805321934952,-0.07209580797511526,0.2341997322888829,0.2995998844823684,348,0.878347263088049,F0
BHOL,F0final_sma_kurtosis,0.06686468386834415,0.06645184437937746,-0.06337853782149608,0.1971079055581844,0.3143133068506423,348,0.878347263088049,F0
BHOL,F0final_sma_upleveltime25,-0.05548391733352092,0.08500134760592434,-0.22208349727850257,0.11111566261146072,0.5139228659165128,348,0.9119274306402481,F0
BHOL,F0final_sma_upleveltime50,-0.02317517594646332,0.05993277194034615,-0.1406412504431945,0.09429089855026787,0.6989885324002483,348,0.9119274306402481,F0
BHOL,F0final_sma_upleveltime75,0.04385551044321995,0.05758887914311798,-0.06901661858732118,0.15672763947376106,0.446342108726438,348,0.878347263088049,F0
